id,size,original,solution
1,5,hflaf,fhfal|ffhla|affhl
2,8,bcquwpaj,uwjpbqca|uaqbjwpc|jabcwqpu
3,9,cohedukfi,hdiofckue|ufdcheiok
4,6,svgqod,sgqvdo|ogsdvq
5,7,sifvdmi,mfiisvd|mdfiisv|iisdfvm
6,10,jgmeqifgte,ijmegqgfte|ieftgqgjme|tgjiemgeqf
7,8,zypjpcmu,mycuzjpp|pypzjumc
8,9,uuhlmxsrm,rlsxumhum
9,9,mblmiernd,edblmnmri|rblmmedni|dmlerinbm
10,5,owhqm,qowhm|qhomw|hqmow
11,5,uitiz,zuiit|izuit|iuizt
12,7,fuqurke,ukuqefr|qfuekur|ruqefku
13,4,obfy,bfoy|yobf|oybf
14,5,bqvic,ivbqc|qivcb
15,7,bufmsoc,omusbfc|msocfbu|mofusbc
16,7,qwzbqzu,bqqzwzu|zwuzbqq|quzwbzq
17,9,lfzffnfjr,rjffnlzff|fnfzrfjfl
18,9,gikhpyuyl,yuglkhpyi|pyyluhigk|ypglykhiu
19,5,ufbfr,frbfu|frubf|bruff
20,5,krcfy,rfkcy
21,4,mpgd,pmdg
22,10,mijlvoixew,vojxeiiwml
23,7,oeeoooc,oecoeoo|coeoeoo
24,6,vckldg,kclgdv
25,10,xtdarafwga,xftawrdgaa|wfadrtxgaa
26,7,kvosauf,fovkasu
27,4,tjsv,vstj|jsvt|vjts
28,7,lmmqktt,qtmkmlt|lqtktmm
29,6,kafyro,oarfyk|kfaryo|kroyaf
30,4,woyd,odyw
31,7,jjfvigw,fjgjiwv|wjjgfvi|ijjgfvw
32,9,myeqokzzq,qokzezqym|ezoqmkqzy|mzeozqykq
33,4,waog,owag
34,8,ogjrowtv,gorojtwv|tgoorjvw|jrogvowt
35,8,xtetelki,eixetltk|tkeeitxl|lxektite
36,9,kougqoken,ukkoneoqg|kqonuoekg|oonkkequg
37,7,vmshzgm,gmmshzv|gmshmvz
38,9,uwtfkfvrs,fstkfwrvu|fftrvkuws|fvufstkrw
39,5,idbjf,fbjdi|ijfdb|idfbj
40,7,ozjgbdg,dgbjzgo
41,6,jzffuw,ufjzfw
42,9,hitdoblym,ylobidthm
43,7,pziymnx,ixyzpmn|pzxnmyi|pzmixyn
44,10,hcqavqihey,cqhvihaqye|viycqhqhae|qvyaciqhhe
45,9,hoenndynv,ovehdnynn
46,4,ydja,ajyd|dyaj
47,8,ymxkxwwd,dxmywkwx|mxdxwwyk
48,5,nuibn,nbinu|nbniu|nbuni
49,7,gfyukqf,fkygquf|gyfkqfu|fgqkfuy
50,5,uzhsg,ghsuz|hsgzu
51,5,ibjgw,wgjbi
52,6,zekngw,wgenzk|wnzekg|zkweng
53,4,edkx,dxek
54,8,lydxinyj,dlnxyyij|jdxilnyy|xidjlyny
55,9,bcvijytel,itbcevyjl|elijvctyb|jvelbtiyc
56,5,vjphb,hbpvj|pvjhb|hvbjp
57,8,yesayksd,aysydkes|sysyekda|dsyskaey
58,4,plza,zlpa|pzla
59,10,bllmpccqql,qpqcmclllb|pmqqlclcbl|lqlpclcmbq
60,4,lxhy,lyxh
61,10,zutqdmojck,zdjkuqmcot
62,7,kscklrn,kcrskln|knclkrs|rnckksl
63,10,xcrwuvmglu,cglxrvwuum|cwruxvlugm
64,5,vmaug,amvgu|mguav
65,4,dqap,dqap
66,6,olrmic,lrmoic
67,8,hewesffi,iewhseff|swhfieef
68,10,izslqwdpnu,nlsqpdiuzw|nzulswqdpi
69,9,wrhqtfqdb,qwdtfrhbq|hdqftbqwr|hwqbrdqft
70,9,ckavcvsex,cevsckaxv
71,6,dpzref,erdpfz|frezdp|zdeprf
72,9,saouedjna,ueadsajon
73,8,msbqfesb,mqsbefbs|qmsfbseb
74,5,kwebi,bkewi|eibwk|wbiek
75,4,esyi,eyis
76,6,qdpadc,acqddp
77,9,vryocpmdj,rdjpocmyv|mdjypcovr|dovprycjm
78,5,csscc,csscc|ssccc
79,7,ueeedng,enueedg
80,5,luxrf,ufxlr
81,9,vvhwcfozz,ofczwzvhv
82,6,xrqunu,rxuunq|rnuxqu|uurxnq
83,4,jvjr,jjvr|rjvj
84,7,mwyyyay,ywyamyy
85,5,xarts,raxts
86,5,oexuh,ehxuo|exohu|uhoex
87,7,txjrokf,txjfrko|okxtfrj
88,7,kccqyas,acycsqk
89,7,fshmxya,mxysahf|fxasyhm|axshyfm
90,8,sgekqeef,sgeqefek
91,5,rralu,ularr|lrrua
92,5,kvgyn,kvngy|gyvkn
93,6,klryim,rmiylk|kmlryi
94,4,syil,lsyi|isyl
95,9,vgobhjwrj,vwhgjjbro|jwjhbgvor
96,10,txflrxslwp,xfsltwplrx|xllpsrwfxt
97,6,xucazg,ugaczx|axzcug
98,8,jxppndil,pijlndxp|ljdnippx|xnpilpjd
99,9,wqkogszcx,sokxzqcgw
100,8,ocnowgme,ncweoomg|cgmoweno
101,9,aewalegta,eaaagwlet
102,5,mbmgj,gmbjm|jmmbg
103,10,tnikkvmzdu,mivkdnztuk
104,6,ifsnew,efiswn|nfiwes
105,4,mmqq,qmqm
106,4,jymn,njym
107,9,tvokjvtpr,vrtojktvp
108,8,lqayrqju,ralqqyuj|jryqqlua
109,10,ayacufnrdi,irfcdnayau
110,10,proudyxetj,pdjerutoyx|topdujxery
111,4,yjlu,lyju|juyl|ujyl
112,5,fcgll,lgcfl|lcglf|glflc
113,7,srwdrlk,krswrdl|wrlksdr|rrlwkds
114,7,cyqrinw,icyqwrn|cyqnirw|wcrqnyi
115,5,urhqd,urdhq|udqrh|dhuqr
116,6,wymjdp,djypwm|pjmdwy
117,7,vphgbwm,vgbwhmp
118,9,hyzceeifb,ecezbfhiy|yeczhefbi|yeifzhecb
119,10,qrcvjpaxbz,cazpbvjqxr|bpzjvxcraq|rjxpaqzbcv
120,9,gypenhzer,rnyzegeph|znpreyehg|nheegzryp
121,7,qkmkbqr,krkqqmb|bqmkkqr|qbqmkkr
122,10,zzbcvfupjl,zbjflzpcvu|cpbjfuzvlz|cupflzbzvj
123,6,xyrioq,qyxori|ioqxry|yxqori
124,10,gfirgrwash,ifrrwashgg|grwiahfgrs|rwsgaifghr
125,6,kkdtxs,xstkdk|sdktxk|xtdksk
126,5,haejq,ejaqh|jheqa
127,9,rzmimxmgc,rxizmmcgm
128,10,rmbqbpusrd,pbqrumdbrs|dmubqsbprr
129,10,vzpavixwhj,vxjapizwvh|awzixpvjvh|azwpxihvvj
130,9,gatztqnqp,gzanptqtq|atnqpqzgt|ngztptaqq
131,7,lsnhjpn,hnnpljs|ljphsnn
132,6,mspkmb,mspbkm
133,7,yjnumxw,mwnuxyj
134,5,xiwex,wxixe
135,8,hcxoyvuw,wuyhvoxc|yvwoxhcu|ovcyxhuw
136,5,vvhkl,vhlkv
137,7,nkzjwkh,wjnkhzk|zhnkwkj|wnkzhjk
138,7,myfryne,ryyfnme|reymfny
139,5,doxvb,dvbox|odbvx
140,5,piqya,qypia|piyaq
141,5,brtcp,pctrb|ctrpb|pcrtb
142,9,lqxpzfejw,lxpwejqfz|eqjplxfwz
143,6,wlywqv,lwqywv
144,8,ihwdwjpi,wijdwihp|dpiwwjih|jdphiwiw
145,8,obsylhaa,aoysahlb|aohlsbay|asahlybo
146,6,ajbrti,tbaijr
147,7,mixiuxs,isximux
148,6,dibuui,bduuii
149,9,djkpwjvtc,pdvjtwckj|ptkdcjjwv
150,6,juycrp,purcyj|urpcyj
151,4,swur,wsru|wurs|uswr
152,9,evhxupizc,viepzhucx|cupvxzhie
153,5,djhmx,dhmxj|hdjxm|hdxmj
154,5,zjtsi,zitjs
155,6,qrijnb,qijnbr|qjrinb
156,6,xrwwtr,rtrwwx|wrxwrt
157,9,wrkvbramc,rmvkrcbwa|bwacvmrrk|wvmkrcabr
158,10,ommeldrlaa,amomaerlld
159,5,kkimg,kigmk
160,7,ilnwqeb,bwniqel|eibnqwl
161,4,xzyu,zuxy|yuzx|yxuz
162,7,squiahx,qhxsuia
163,7,andurpi,paindru
164,5,cetga,gceta
165,9,kwzcfswty,zkwwcstyf
166,10,hxqvnfnsiw,vhnfnsixwq|fnqihnvxws
167,4,iwkx,iwxk|kixw|xikw
168,7,japniji,ajnjiip|jjniipa
169,10,sbtpbbdcuf,csbbdpfbtu|bbuftdscbp
170,7,lroekrx,lorkrex|rxorekl|xerrlko
171,4,wwjx,wjwx
172,5,bzcel,ezclb|belzc
173,4,fyhj,fjyh|fjhy|fhyj
174,8,hwxcjyxk,yxxchkwj|cykxwxjh
175,10,qmpxmqqjjt,tqmjxmpjqq|pmjxtqqjmq|qmqtqjpxmj
176,4,knan,ankn
177,5,tajss,tsjsa|ssjta
178,6,vtxnif,txivnf|tifxvn
179,5,blubz,zblbu|uzblb|ubzbl
180,4,fatc,tcfa|tfac
181,7,hnlkayn,lnnhyak|nyakhnl
182,8,gxkikbbc,bxcbkikg
183,8,vynjflml,lnfjlmyv|flynlmvj|lnyvjflm
184,5,rzqgt,grtzq|qgrtz
185,10,iwuzifvcye,ieuzyfviwc|uvziwfecyi
186,9,vujanfkfr,ujfvkafrn
187,9,htxwmhvzb,bxvzhwmht
188,9,fqcvoygpq,gvfqqpocy
189,9,nobucqyxm,byxcmqnuo
190,5,vpeyo,vpyoe|vopye|epoyv
191,6,mjktsf,jmtksf|jtsmfk|mtjskf
192,4,snbo,bson|sonb
193,4,dgvb,gvdb
194,6,seszgm,zsmegs
195,9,tticrcluy,ctulycrit|ctcyrulti
196,7,bcxzkhb,xbbckzh|kbcbxzh
197,9,qahxbvlnv,ahnvbxvlq|vvxnlqabh|vaqvhnlxb
198,9,furqdtgnb,rfbtnqugd|rtqbgfdun
199,6,lvtnyz,vynztl|yvlnzt
200,7,qtnqytu,utnyqtq
201,5,dobmw,mdwob|bwdom
202,7,vbryfzr,zbrvfry|fbrzvyr|rzfbryv
203,5,bhagd,hbgda|ahdbg|hgbda
204,8,ndxnrkmz,mrnzdkxn|nnmxdzkr
205,5,kznfy,nkyfz|zkynf
206,8,nkmgodza,gdaoknmz|gdnkmaoz|ngkoadzm
207,6,ofdnse,sedonf|ndsofe|sfoden
208,9,imwiltjtr,ttrlijwim|iimltjwrt
209,5,flcyu,yfcul|ycluf
210,8,vgydrsqz,gqrvydsz|rgvzqsdy
211,10,checfsncqv,ecchfvncsq|echncscqvf
212,8,ijeowuhu,uowujhie|uhuoiwej
213,9,zpvrbylce,lpcybrzve|pevczrlby
214,4,lkis,lkis|skli
215,4,octx,ctox
216,4,ewfw,ewfw|wfew
217,10,rpbxurrowy,rxwoprbruy|pxrrrbuyow
218,4,exmv,vxem
219,4,ughf,hfgu|fghu|hgfu
220,5,afjfc,fcajf
221,4,eyjr,rjey|jyre|ryje
222,10,cxpdkytjmb,ydjctkpxbm
223,4,qihd,qdih
